"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"C:\Users\user\AppData\Local\Temp\deference_bandit_exp0\experiment_0_bandit_base.nlogox"
"experiment-0-bandit-main-final"
"08/01/2026 08:59:56:478 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","run-seed","world-mode","peer-sharing?","[step]","actual-seed","hidden-world","ticks","expert-total-pulls","total-lay-pulls","expert-truth-mass-at-25","expert-recommendation-score-at-25","expert-informative-observations-at-25","mean-lay-truth-mass-at-25","mean-lay-recommendation-score-at-25","mean-lay-informative-observations-at-25","mean-lay-archive-size-at-25","mean-lay-posterior-truth-mass","cumulative-lay-correct-choice-rate","mean-lay-cumulative-regret","mean-lay-realized-payoff","mean-lay-b-pulls","mean-lay-informative-observations","final-window-wrong-choice-rate","finite-horizon-error-persistence-rate","run-finite-horizon-persistent-error?","expert-posterior-truth-mass","expert-recommendation-accuracy","expert-thompson-correct-rate","expert-cumulative-regret","expert-b-pull-rate","lay-a-reward-rate","lay-b-reward-rate","expert-a-reward-rate","expert-b-reward-rate","mean-peer-messages-received","mean-unique-evidence-count","duplicate-message-count","maximum-belief-identity-error","maximum-regret-identity-error","network-structure-valid?","message-accounting-valid?","evidence-provenance-valid?"
"11","310011","B-good","true","500","310011","B-good","500","125","5000","0.8588821376227943","1","71","0.6436016818261211","0.6","43.8","75","0.999999999999998","0.962","0.9500000000000011","0.5594","481","1441","0","0","false","0.8588821376227943","1","0.568","2.6999999999999993","0.568","0.4842105263157895","0.5623700623700624","0.42592592592592593","0.5633802816901409","998","1498","0","9.237055564881302E-14","3.1086244689504383E-15","true","true","true"
"12","310012","B-good","true","500","310012","B-good","500","125","5000","0.2682825988187187","0","39","0.809555289752498","1","39.9","75","0.9999999320224633","0.944","1.4","0.5434","472","1414","0","0","false","0.2682825988187187","0","0.312","4.299999999999994","0.312","0.5071428571428571","0.5455508474576272","0.4186046511627907","0.4358974358974359","998","1498","0","8.526512829121202E-14","1.2434497875801753E-14","true","true","true"
"13","310013","B-good","true","500","310013","B-good","500","125","5000","0.9009100727155935","1","81","0.5955938894413964","0.7","39.3","75","0.9999999999721197","0.9528","1.180000000000001","0.5518","476.4","1427.2","0","0","false","0.9009100727155935","1","0.648","2.200000000000001","0.648","0.5084745762711864","0.5539462636439967","0.5","0.5679012345679012","998","1498","0","8.526512829121202E-14","8.881784197001252E-16","true","true","true"
"14","310014","B-good","true","500","310014","B-good","500","125","5000","0.9880470865159074","1","106","0.4535489957914298","0.45","37.2","75","0.9999993438782224","0.8426","3.935000000000001","0.5396","421.3","1261.9","0","0","false","0.9880470865159074","1","0.848","0.9500000000000008","0.848","0.5031766200762389","0.5464039876572514","0.631578947368421","0.6037735849056604","998","1498","0","9.947598300641403E-14","3.019806626980426E-14","true","true","true"
"15","310015","B-good","true","500","310015","B-good","500","125","5000","0.9880470865159074","1","108","0.9127787464356849","1","51.9","75","0.9999999999992595","0.9766","0.5850000000000005","0.5576","488.3","1462.9","0","0","false","0.9880470865159074","1","0.864","0.8500000000000008","0.864","0.5811965811965812","0.557034609870981","0.47058823529411764","0.6018518518518519","998","1498","0","1.0658141036401503E-13","0","true","true","true"
"16","310016","B-good","true","500","310016","B-good","500","125","5000","0.9431811237123936","1","86","0.5542626367468589","0.6","40.2","75","0.9999999203064694","0.9482","1.2950000000000004","0.5524","474.1","1420.3","0","0","false","0.9431811237123936","1","0.688","1.9500000000000017","0.688","0.5096525096525096","0.5547352879139422","0.6410256410256411","0.5813953488372093","998","1498","0","9.947598300641403E-14","5.329070518200751E-15","true","true","true"
"18","310018","B-good","true","500","310018","B-good","500","125","5000","0.832766961303352","1","84","0.7094890458750699","0.8","43.8","75","0.999999999212613","0.9116","2.210000000000003","0.5526","455.8","1365.4","0","0","false","0.832766961303352","1","0.672","2.0500000000000016","0.672","0.48642533936651583","0.5590171127687582","0.4634146341463415","0.5476190476190477","998","1498","0","9.237055564881302E-14","1.5987211554602254E-14","true","true","true"
"19","310019","B-good","true","500","310019","B-good","500","125","5000","0.9783898101507787","1","113","0.8229594829755053","1","53.1","75","0.9999999999997119","0.974","0.6500000000000005","0.5542","487","1459","0","0","false","0.9783898101507787","1","0.904","0.6000000000000005","0.904","0.5538461538461539","0.5542094455852156","0.75","0.584070796460177","998","1498","0","8.526512829121202E-14","0","true","true","true"
"17","310017","B-good","true","500","310017","B-good","500","125","5000","0.3094519384963682","0","30","0.5789978260630059","0.7","55.2","75","0.9999999999676437","0.9698","0.7550000000000007","0.5522","484.9","1452.7","0","0","false","0.3094519384963682","0","0.24","4.749999999999992","0.24","0.5231788079470199","0.5531037327283976","0.5052631578947369","0.43333333333333335","998","1498","0","8.526512829121202E-14","1.2434497875801753E-14","true","true","true"
"20","310020","B-good","true","500","310020","B-good","500","125","5000","0.23076011223611606","0","32","0.6680925134895686","0.75","49.5","75","0.9999999956999494","0.9392","1.5200000000000007","0.5444","469.6","1406.8","0","0","false","0.23076011223611606","0","0.256","4.649999999999992","0.256","0.5361842105263158","0.544931856899489","0.5161290322580645","0.40625","998","1498","0","7.815970093361102E-14","1.1546319456101628E-14","true","true","true"
