"world","policy","ticks","correct_share","post_regret","mean_q"
"B-bad","C-Preemption",70,0.791,0.561375,0.208123913614988
"B-good","C-Preemption",70,0.838,0.48595,0.831113216231159
"B-bad","C-Total Evidence",70,0.833,0.431,0.161995935059909
"B-good","C-Total Evidence",70,0.8795,0.3702,0.878785073937994
"B-bad","No Deference",70,0.746,0.670175,0.247316725557948
"B-good","No Deference",70,0.7835,0.646675,0.783268007023155
"B-bad","C-Preemption",75,0.8035,0.612125,0.200879742614475
"B-good","C-Preemption",75,0.8405,0.5276,0.839511280736302
"B-bad","C-Total Evidence",75,0.847,0.469325,0.156491353926757
"B-good","C-Total Evidence",75,0.89,0.399375,0.885335668047494
"B-bad","No Deference",75,0.7725,0.729375,0.237828471277732
"B-good","No Deference",75,0.7915,0.699175,0.793927770939176
"B-bad","C-Preemption",80,0.803,0.661575,0.195387548999714
"B-good","C-Preemption",80,0.848,0.56665,0.850171195186272
"B-bad","C-Total Evidence",80,0.843,0.508575,0.153451173058836
"B-good","C-Total Evidence",80,0.888,0.4274,0.893363558176805
"B-bad","No Deference",80,0.7725,0.78765,0.230413696594238
"B-good","No Deference",80,0.7985,0.749325,0.809282110269028
"B-bad","C-Preemption",85,0.8065,0.7095,0.190504152175014
"B-good","C-Preemption",85,0.8535,0.60295,0.857993163778443
"B-bad","C-Total Evidence",85,0.857,0.545575,0.147326999161416
"B-good","C-Total Evidence",85,0.893,0.452825,0.898743421494854
"B-bad","No Deference",85,0.7795,0.844425,0.221723749936807
"B-good","No Deference",85,0.813,0.796175,0.819854161891493
"B-bad","C-Preemption",90,0.805,0.75725,0.186458459136368
"B-good","C-Preemption",90,0.8605,0.637275,0.867080793612
"B-bad","C-Total Evidence",90,0.843,0.584,0.145293407878823
"B-good","C-Total Evidence",90,0.903,0.4773,0.904233214651074
"B-bad","No Deference",90,0.769,0.901225,0.215024022802279
"B-good","No Deference",90,0.8345,0.8393,0.830063259882621
"B-bad","C-Preemption",95,0.827,0.803825,0.180057145753612
"B-good","C-Preemption",95,0.8685,0.670675,0.871254343627275
"B-bad","C-Total Evidence",95,0.861,0.61945,0.141946472362219
"B-good","C-Total Evidence",95,0.906,0.501075,0.907871616086255
"B-bad","No Deference",95,0.7955,0.954,0.207808585240895
"B-good","No Deference",95,0.833,0.8818,0.837443932328742
"B-bad","C-Preemption",100,0.8175,0.847625,0.174752138939501
"B-good","C-Preemption",100,0.8785,0.702075,0.876441623742512
"B-bad","C-Total Evidence",100,0.8415,0.655375,0.137356150861305
"B-good","C-Total Evidence",100,0.924,0.523325,0.911687898768277
"B-bad","No Deference",100,0.7935,1.00595,0.198894546482811
"B-good","No Deference",100,0.8455,0.922475,0.843792481893231
"B-bad","C-Preemption",105,0.836,0.8912,0.171126487696217
"B-good","C-Preemption",105,0.8765,0.732225,0.881538930161193
"B-bad","C-Total Evidence",105,0.869,0.6902,0.134271252928844
"B-good","C-Total Evidence",105,0.916,0.54435,0.916063936248263
"B-bad","No Deference",105,0.8155,1.0554,0.194430058865341
"B-good","No Deference",105,0.8515,0.959625,0.852959609237619
"B-bad","C-Preemption",110,0.83,0.9337,0.165650564796333
"B-good","C-Preemption",110,0.8895,0.76165,0.886965360749059
"B-bad","C-Total Evidence",110,0.8615,0.722925,0.131179305992884
"B-good","C-Total Evidence",110,0.919,0.56545,0.921369738655245
"B-bad","No Deference",110,0.8085,1.103925,0.187909194428455
"B-good","No Deference",110,0.857,0.996224999999999,0.862509416364401
"B-bad","C-Preemption",115,0.8465,0.973625,0.161780610473183
"B-good","C-Preemption",115,0.8955,0.78845,0.894497638490895
"B-bad","C-Total Evidence",115,0.88,0.753475,0.129547672899668
"B-good","C-Total Evidence",115,0.923,0.584425,0.925013366190391
"B-bad","No Deference",115,0.826,1.1496,0.185533953456505
"B-good","No Deference",115,0.871,1.029425,0.870369107409518
"B-bad","C-Preemption",120,0.8505,1.012525,0.158645522131794
"B-good","C-Preemption",120,0.9015,0.814225,0.899807556362494
"B-bad","C-Total Evidence",120,0.878,0.785275,0.128290021417927
"B-good","C-Total Evidence",120,0.9285,0.6029,0.929116616932172
"B-bad","No Deference",120,0.8225,1.19485,0.181220508067029
"B-good","No Deference",120,0.876,1.0614,0.878677745011445
"B-bad","C-Preemption",125,0.835,1.052325,0.151907419228252
"B-good","C-Preemption",125,0.901,0.838924999999999,0.903902191065638
"B-bad","C-Total Evidence",125,0.874,0.816475,0.123737204022483
"B-good","C-Total Evidence",125,0.9335,0.6199,0.931196482071984
"B-bad","No Deference",125,0.8225,1.2396,0.174816929504925
"B-good","No Deference",125,0.8815,1.091775,0.883546789582124
"B-bad","C-Preemption",130,0.855,1.0888,0.150820794566254
"B-good","C-Preemption",130,0.911,0.862249999999999,0.906412908198426
"B-bad","C-Total Evidence",130,0.8825,0.845675,0.120859447703219
"B-good","C-Total Evidence",130,0.9345,0.636949999999999,0.933953342545962
"B-bad","No Deference",130,0.832,1.28115,0.16953280598872
"B-good","No Deference",130,0.8845,1.121125,0.888824929605321
"B-bad","C-Preemption",135,0.864,1.12455,0.145307090569501
"B-good","C-Preemption",135,0.9055,0.884649999999999,0.913501642377813
"B-bad","C-Total Evidence",135,0.884,0.87515,0.117462540447768
"B-good","C-Total Evidence",135,0.9295,0.653599999999999,0.935650104843256
"B-bad","No Deference",135,0.8385,1.32175,0.162909227388237
"B-good","No Deference",135,0.8955,1.147975,0.893585418717251
"B-bad","C-Preemption",140,0.8595,1.160025,0.142201281760302
"B-good","C-Preemption",140,0.9115,0.905624999999999,0.918631347126823
"B-bad","C-Total Evidence",140,0.8845,0.904625,0.114530224945617
"B-good","C-Total Evidence",140,0.9335,0.670124999999999,0.937027243116332
"B-bad","No Deference",140,0.8405,1.363275,0.156720832212656
"B-good","No Deference",140,0.8905,1.1752,0.899114237616176
"B-bad","C-Preemption",145,0.8505,1.195525,0.135501779626397
"B-good","C-Preemption",145,0.919,0.925774999999999,0.921213755475421
"B-bad","C-Total Evidence",145,0.8825,0.9329,0.110044564802023
"B-good","C-Total Evidence",145,0.9365,0.685524999999999,0.939292691371481
"B-bad","No Deference",145,0.841,1.401275,0.148396019570387
"B-good","No Deference",145,0.899,1.200175,0.904615644943623
"B-bad","C-Preemption",150,0.855,1.2299,0.134705256606132
"B-good","C-Preemption",150,0.9245,0.945199999999999,0.926316540577895
"B-bad","C-Total Evidence",150,0.8865,0.9603,0.107977000333098
"B-good","C-Total Evidence",150,0.948,0.700424999999999,0.942549011200387
"B-bad","No Deference",150,0.8485,1.43875,0.147238175521814
"B-good","No Deference",150,0.919,1.223,0.909613743146393
"B-bad","C-Preemption",155,0.8655,1.26375,0.128893973722862
"B-good","C-Preemption",155,0.933,0.962424999999999,0.927887484950031
"B-bad","C-Total Evidence",155,0.8875,0.987924999999999,0.107524193707064
"B-good","C-Total Evidence",155,0.942,0.714099999999999,0.942509362964046
"B-bad","No Deference",155,0.8465,1.4764,0.144374267647564
"B-good","No Deference",155,0.9175,1.2448,0.91170107204499
"B-bad","C-Preemption",160,0.8885,1.294525,0.125207400414244
"B-good","C-Preemption",160,0.9295,0.980424999999999,0.93247592352991
"B-bad","C-Total Evidence",160,0.9105,1.013275,0.104768938389813
"B-good","C-Total Evidence",160,0.9485,0.728199999999999,0.946738009567042
"B-bad","No Deference",160,0.8685,1.51145,0.141224806953474
"B-good","No Deference",160,0.914,1.26695,0.915930765577404
"B-bad","C-Preemption",165,0.8855,1.324625,0.120534537852474
"B-good","C-Preemption",165,0.9385,0.996924999999999,0.936083391819776
"B-bad","C-Total Evidence",165,0.898,1.03955,0.100786843856398
"B-good","C-Total Evidence",165,0.9545,0.740749999999999,0.948719698665356
"B-bad","No Deference",165,0.8585,1.546675,0.1368824463061
"B-good","No Deference",165,0.9265,1.287025,0.920644866059878
"B-bad","C-Preemption",170,0.859,1.35605,0.120348936644273
"B-good","C-Preemption",170,0.944,1.01215,0.94034777683751
"B-bad","C-Total Evidence",170,0.884,1.06575,0.100147726773154
"B-good","C-Total Evidence",170,0.9545,0.753249999999999,0.950712270520562
"B-bad","No Deference",170,0.8415,1.58125,0.132078969406799
"B-good","No Deference",170,0.9345,1.306525,0.925186718334521
"B-bad","C-Preemption",175,0.8775,1.38625,0.119763922853539
"B-good","C-Preemption",175,0.9445,1.026225,0.943882812261176
"B-bad","C-Total Evidence",175,0.8955,1.090875,0.0996121220648822
"B-good","C-Total Evidence",175,0.956,0.764699999999999,0.953426194749064
"B-bad","No Deference",175,0.871,1.613625,0.13069085456189
"B-good","No Deference",175,0.93,1.324875,0.930523628342656
"B-bad","C-Preemption",180,0.878,1.41515,0.118023465026318
"B-good","C-Preemption",180,0.948,1.039475,0.9459222597454
"B-bad","C-Total Evidence",180,0.904,1.11475,0.0981498110539767
"B-good","C-Total Evidence",180,0.9605,0.775799999999999,0.955038980094442
"B-bad","No Deference",180,0.872,1.645125,0.129029157252826
"B-good","No Deference",180,0.934,1.341925,0.933155853088
"B-bad","C-Preemption",185,0.886,1.4449,0.115214112688839
"B-good","C-Preemption",185,0.9525,1.052075,0.950011561963018
"B-bad","C-Total Evidence",185,0.9005,1.13955,0.0957207337261049
"B-good","C-Total Evidence",185,0.958,0.786449999999999,0.958490287952851
"B-bad","No Deference",185,0.874,1.67745,0.12585615211227
"B-good","No Deference",185,0.9395,1.35755,0.939004937479083
"B-bad","C-Preemption",190,0.8975,1.472525,0.111240495412917
"B-good","C-Preemption",190,0.95,1.064275,0.950237778408401
"B-bad","C-Total Evidence",190,0.91,1.162025,0.0910644124304732
"B-good","C-Total Evidence",190,0.959,0.796549999999999,0.958538680993056
"B-bad","No Deference",190,0.8795,1.707725,0.122125823853635
"B-good","No Deference",190,0.938,1.3724,0.940296643137644
"B-bad","C-Preemption",195,0.8785,1.5009,0.107517326397097
"B-good","C-Preemption",195,0.953,1.0766,0.951908822656754
"B-bad","C-Total Evidence",195,0.9035,1.184825,0.0874552702445324
"B-good","C-Total Evidence",195,0.966,0.806199999999999,0.960403636032759
"B-bad","No Deference",195,0.8725,1.7382,0.117727462184297
"B-good","No Deference",195,0.951,1.386275,0.94425739781085
"B-bad","C-Preemption",200,0.894,1.527,0.103656600533203
"B-good","C-Preemption",200,0.9505,1.0887,0.954122505548198
"B-bad","C-Total Evidence",200,0.913,1.207,0.0844792155175396
