"world","policy","ticks","correct_share","post_regret","mean_q"
"B-good","C-Preemption",355,0.982,1.30095,0.983514074359093
"B-bad","C-Total Evidence",355,0.953,1.7058,0.0515784676259648
"B-good","C-Total Evidence",355,0.9895,0.9844,0.988850786203533
"B-bad","No Deference",355,0.94,2.409325,0.0635904097605135
"B-good","No Deference",355,0.986,1.6303,0.985123958788623
"B-bad","C-Preemption",360,0.932,2.130575,0.0578860550433062
"B-good","C-Preemption",360,0.9825,1.3049,0.98433621870933
"B-bad","C-Total Evidence",360,0.9425,1.7196,0.0511634714453296
"B-good","C-Total Evidence",360,0.99,0.987225000000001,0.989952677420562
"B-bad","No Deference",360,0.9275,2.4264,0.0631259313743846
"B-good","No Deference",360,0.9835,1.63415,0.985496422223528
"B-bad","C-Preemption",365,0.95,2.1439,0.0568048229495234
"B-good","C-Preemption",365,0.986,1.308475,0.984951016577501
"B-bad","C-Total Evidence",365,0.956,1.73135,0.0503938092908094
"B-good","C-Total Evidence",365,0.9915,0.989625000000001,0.990889474593129
"B-bad","No Deference",365,0.9445,2.441125,0.0616408125398748
"B-good","No Deference",365,0.989,1.637525,0.986725703522246
"B-bad","C-Preemption",370,0.9445,2.157925,0.0559346836990343
"B-good","C-Preemption",370,0.984,1.3123,0.985691001416663
"B-bad","C-Total Evidence",370,0.9495,1.743,0.0510131747670392
"B-good","C-Total Evidence",370,0.992,0.991975000000001,0.991373711255497
"B-bad","No Deference",370,0.9365,2.45615,0.0609454939777478
"B-good","No Deference",370,0.989,1.6409,0.987341049259141
"B-bad","C-Preemption",375,0.942,2.171675,0.0544674376120807
"B-good","C-Preemption",375,0.9855,1.31595,0.986310099541808
"B-bad","C-Total Evidence",375,0.9455,1.75535,0.0501203853880859
"B-good","C-Total Evidence",375,0.9915,0.993975000000001,0.992032499389851
"B-bad","No Deference",375,0.9375,2.471625,0.060373897254462
"B-good","No Deference",375,0.9875,1.643975,0.988306684291147
"B-bad","C-Preemption",380,0.948,2.184775,0.0539710982965717
"B-good","C-Preemption",380,0.988,1.319225,0.986973777845019
"B-bad","C-Total Evidence",380,0.951,1.76795,0.0492520462303124
"B-good","C-Total Evidence",380,0.993,0.995700000000001,0.993042991237792
"B-bad","No Deference",380,0.9385,2.4864,0.0607541775687418
"B-good","No Deference",380,0.987,1.64675,0.98923311687648
"B-bad","C-Preemption",385,0.948,2.198425,0.0531673729324192
"B-good","C-Preemption",385,0.9875,1.322475,0.987174262498769
"B-bad","C-Total Evidence",385,0.9515,1.7801,0.0484984315037758
"B-good","C-Total Evidence",385,0.9945,0.997500000000001,0.992827569531828
"B-bad","No Deference",385,0.9415,2.50185,0.0595488752936802
"B-good","No Deference",385,0.9905,1.649325,0.989319299221722
"B-bad","C-Preemption",390,0.9425,2.211875,0.0531158749800176
"B-good","C-Preemption",390,0.989,1.325725,0.987496417681021
"B-bad","C-Total Evidence",390,0.9475,1.791925,0.0475901119262545
"B-good","C-Total Evidence",390,0.9945,0.999225000000001,0.993695110370036
"B-bad","No Deference",390,0.933,2.517575,0.0595348055405879
"B-good","No Deference",390,0.9915,1.651825,0.989698315405546
"B-bad","C-Preemption",395,0.9535,2.225075,0.0525203624474817
"B-good","C-Preemption",395,0.9865,1.329025,0.987327284969075
"B-bad","C-Total Evidence",395,0.958,1.803725,0.0476596584659493
"B-good","C-Total Evidence",395,0.992,1.001,0.993803199252141
"B-bad","No Deference",395,0.9495,2.531875,0.0581983890486281
"B-good","No Deference",395,0.9885,1.654575,0.98989550384861
"B-bad","C-Preemption",400,0.9475,2.23825,0.0532213018292222
"B-good","C-Preemption",400,0.9885,1.3323,0.987738315549213
"B-bad","C-Total Evidence",400,0.9495,1.815575,0.0478472276160024
"B-good","C-Total Evidence",400,0.9935,1.002575,0.994122165238874
"B-bad","No Deference",400,0.9415,2.5459,0.0588654221303791
"B-good","No Deference",400,0.989,1.657125,0.98969080996503
"B-bad","C-Preemption",405,0.943,2.25155,0.0534239657511175
"B-good","C-Preemption",405,0.9865,1.335375,0.98782982471916
"B-bad","C-Total Evidence",405,0.948,1.8277,0.048192464814274
"B-good","C-Total Evidence",405,0.9935,1.004075,0.994451051295238
"B-bad","No Deference",405,0.9415,2.56025,0.0595038576084954
"B-good","No Deference",405,0.99,1.659775,0.990773579008938
"B-bad","C-Preemption",410,0.951,2.264725,0.052021921293911
"B-good","C-Preemption",410,0.989,1.338475,0.988045364051503
"B-bad","C-Total Evidence",410,0.9545,1.84035,0.0464990714821742
"B-good","C-Total Evidence",410,0.9945,1.0056,0.994547283521499
"B-bad","No Deference",410,0.94,2.5762,0.0585284856356694
"B-good","No Deference",410,0.9925,1.66205,0.991489575906559
"B-bad","C-Preemption",415,0.9575,2.27755,0.0519662025129183
"B-good","C-Preemption",415,0.988,1.34125,0.988702882749489
"B-bad","C-Total Evidence",415,0.9635,1.85125,0.0465319310635497
"B-good","C-Total Evidence",415,0.9955,1.0069,0.994788776001035
"B-bad","No Deference",415,0.9435,2.59055,0.0573306931230342
"B-good","No Deference",415,0.991,1.664275,0.991996813406051
"B-bad","C-Preemption",420,0.953,2.290725,0.052469185566907
"B-good","C-Preemption",420,0.9885,1.344125,0.988803588582233
"B-bad","C-Total Evidence",420,0.9555,1.8632,0.0471481544794925
"B-good","C-Total Evidence",420,0.995,1.00815,0.994846868244734
"B-bad","No Deference",420,0.9495,2.6043,0.0573787238239825
"B-good","No Deference",420,0.992,1.666275,0.991713299053524
"B-bad","C-Preemption",425,0.952,2.304025,0.0511199924002237
"B-good","C-Preemption",425,0.989,1.346825,0.988814883927623
"B-bad","C-Total Evidence",425,0.958,1.8754,0.0464609786005276
"B-good","C-Total Evidence",425,0.9945,1.009325,0.994856162707503
"B-bad","No Deference",425,0.9475,2.61935,0.0565963988707915
"B-good","No Deference",425,0.992,1.6683,0.991576153765371
"B-bad","C-Preemption",430,0.9505,2.3169,0.0515149052183404
"B-good","C-Preemption",430,0.9895,1.3494,0.988854095919268
"B-bad","C-Total Evidence",430,0.951,1.8871,0.046419797942954
"B-good","C-Total Evidence",430,0.995,1.010575,0.994444224248976
"B-bad","No Deference",430,0.9445,2.63295,0.0563805356323438
"B-good","No Deference",430,0.9905,1.6706,0.991175117382717
"B-bad","C-Preemption",435,0.9495,2.3299,0.0506387385354624
"B-good","C-Preemption",435,0.9895,1.352075,0.989159851719409
"B-bad","C-Total Evidence",435,0.9555,1.898975,0.0455826480486728
"B-good","C-Total Evidence",435,0.995,1.01195,0.994263470154159
"B-bad","No Deference",435,0.941,2.647075,0.0559434222389577
"B-good","No Deference",435,0.9915,1.67285,0.991397539125771
"B-bad","C-Preemption",440,0.954,2.342875,0.0513778800421702
"B-good","C-Preemption",440,0.9885,1.3548,0.989527337296071
"B-bad","C-Total Evidence",440,0.9625,1.910225,0.0450304868056346
"B-good","C-Total Evidence",440,0.995,1.0134,0.994287646757431
"B-bad","No Deference",440,0.953,2.660575,0.0559732860335608
"B-good","No Deference",440,0.9935,1.6751,0.992288708746354
"B-bad","C-Preemption",445,0.954,2.35555,0.0514767655450643
"B-good","C-Preemption",445,0.991,1.35725,0.989245279097331
"B-bad","C-Total Evidence",445,0.96,1.92085,0.0448610982148639
"B-good","C-Total Evidence",445,0.993,1.015,0.994145792951495
"B-bad","No Deference",445,0.949,2.674375,0.0559377877772657
"B-good","No Deference",445,0.9915,1.6772,0.992140310904286
"B-bad","C-Preemption",450,0.9505,2.368375,0.0506758985429472
"B-good","C-Preemption",450,0.988,1.3599,0.989335671208554
"B-bad","C-Total Evidence",450,0.9545,1.9323,0.0439292171938704
"B-good","C-Total Evidence",450,0.993,1.0165,0.99396108643899
"B-bad","No Deference",450,0.9405,2.6888,0.0543052373240625
"B-good","No Deference",450,0.991,1.67925,0.992313707857182
"B-bad","C-Preemption",455,0.947,2.381175,0.0492329164168195
"B-good","C-Preemption",455,0.9895,1.36265,0.989918179555243
"B-bad","C-Total Evidence",455,0.9565,1.943625,0.0430284428101555
"B-good","C-Total Evidence",455,0.9955,1.0178,0.994705419810362
"B-bad","No Deference",455,0.9495,2.702625,0.0532566180567272
"B-good","No Deference",455,0.994,1.680875,0.993327478262907
"B-bad","C-Preemption",460,0.9455,2.39355,0.0479601671990141
"B-good","C-Preemption",460,0.99,1.365325,0.989832527095716
"B-bad","C-Total Evidence",460,0.959,1.9538,0.042400124283849
"B-good","C-Total Evidence",460,0.9935,1.0192,0.994548935550859
"B-bad","No Deference",460,0.941,2.716375,0.0521473194297903
"B-good","No Deference",460,0.992,1.68255,0.993220252677169
"B-bad","C-Preemption",465,0.954,2.405875,0.0472555282368332
"B-good","C-Preemption",465,0.9905,1.367825,0.98969734045907
"B-bad","C-Total Evidence",465,0.9565,1.9648,0.0417015281274835
"B-good","C-Total Evidence",465,0.995,1.020575,0.994654019030752
"B-bad","No Deference",465,0.956,2.729525,0.0509319360711373
"B-good","No Deference",465,0.993,1.684175,0.993332847800921
"B-bad","C-Preemption",470,0.954,2.417425,0.047238605427677
"B-good","C-Preemption",470,0.9885,1.370525,0.989923861327835
"B-bad","C-Total Evidence",470,0.9625,1.9752,0.0408877112928221
"B-good","C-Total Evidence",470,0.9955,1.02195,0.994687509347018
"B-bad","No Deference",470,0.949,2.7419,0.0497538927672667
"B-good","No Deference",470,0.9935,1.685925,0.993052338624868
"B-bad","C-Preemption",475,0.9515,2.43065,0.0474418968171033
"B-good","C-Preemption",475,0.9905,1.372875,0.990209162459555
"B-bad","C-Total Evidence",475,0.9545,1.987175,0.0405077200612148
"B-good","C-Total Evidence",475,0.994,1.023225,0.994701242632463
"B-bad","No Deference",475,0.946,2.755325,0.0492166662792544
"B-good","No Deference",475,0.992,1.687725,0.992964030264059
"B-bad","C-Preemption",480,0.949,2.442625,0.0469724849310016
"B-good","C-Preemption",480,0.99,1.37545,0.990143896449899
"B-bad","C-Total Evidence",480,0.956,1.9974,0.0412807946566162
"B-good","C-Total Evidence",480,0.995,1.024575,0.994685868282764
"B-bad","No Deference",480,0.9455,2.76775,0.0490068693325879
"B-good","No Deference",480,0.9935,1.689375,0.992877587103895
"B-bad","C-Preemption",485,0.9485,2.4543,0.0464925936238207
"B-good","C-Preemption",485,0.989,1.378125,0.990005501793965
"B-bad","C-Total Evidence",485,0.956,2.0078,0.0405553888004325
"B-good","C-Total Evidence",485,0.9935,1.02595,0.99469114079719
"B-bad","No Deference",485,0.951,2.7798,0.0482702954665103
"B-good","No Deference",485,0.9915,1.691425,0.992595989768783
"B-bad","C-Preemption",490,0.95,2.466175,0.0455482289316077
"B-good","C-Preemption",490,0.9905,1.380575,0.990239866731841
"B-bad","C-Total Evidence",490,0.9545,2.018275,0.0400861239805898
"B-good","C-Total Evidence",490,0.995,1.027175,0.994761705467196
"B-bad","No Deference",490,0.9455,2.79165,0.0473189466676064
"B-good","No Deference",490,0.993,1.693125,0.992927263712208
"B-bad","C-Preemption",495,0.955,2.47785,0.0453230664294825
"B-good","C-Preemption",495,0.991,1.383,0.990730795819403
"B-bad","C-Total Evidence",495,0.964,2.0288,0.0398420886807176
"B-good","C-Total Evidence",495,0.994,1.02855,0.994907399060669
"B-bad","No Deference",495,0.957,2.803375,0.0476784556618513
"B-good","No Deference",495,0.993,1.69495,0.993264380214852
"B-bad","C-Preemption",500,0.961,2.48835,0.0450821329000793
"B-good","C-Preemption",500,0.99,1.38535,0.991188571718277
"B-bad","C-Total Evidence",500,0.967,2.037425,0.0402115307411121
"B-good","C-Total Evidence",500,0.9945,1.0297,0.995564129071887
"B-bad","No Deference",500,0.963,2.81365,0.047656777285928
"B-good","No Deference",500,0.9945,1.696425,0.994201217124096
