"world","policy","n_runs","post_regret","post_regret_low","post_regret_high","early_wrong_rate","early_wrong_rate_low","early_wrong_rate_high","post_correct_rate","post_correct_rate_low","post_correct_rate_high","post_payoff","post_payoff_low","post_payoff_high","post_b_pulls","post_b_pulls_low","post_b_pulls_high","final_truth_mass","final_truth_mass_low","final_truth_mass_high","late_wrong_rate","late_wrong_rate_low","late_wrong_rate_high","persistent_run_rate","persistent_run_rate_low","persistent_run_rate_high"
"B-good","No Deference",500,1.56658,1.449624,1.692537,0.231853333333333,0.2200078,0.243504133333333,0.934038736842105,0.929026084210526,0.939003431578947,0.546968,0.546283368421053,0.547688010526316,443.6684,441.223875,446.081715,0.997557317852626,0.996031301992704,0.998846443294462,0.0032,0.001652,0.0050321,0,0,0
"B-good","E-Preemption",500,1.59155,1.3923975,1.78749975,0.212554666666667,0.193519,0.232537266666667,0.932987368421053,0.924439547368421,0.941194484210526,0.546950315789474,0.546199978947368,0.547700831578947,443.169,439.026195,447.166525,0.995287621384941,0.991990239510498,0.997773114146594,0.00606,0.003212,0.0099722,0.002,0,0.006
"B-good","E-Total Evidence",500,1.21102,1.0526005,1.39488675,0.158738666666667,0.142431666666667,0.175051,0.949009684210526,0.941464536842105,0.956154189473684,0.547700631578947,0.546948210526316,0.548435368421053,450.7796,447.14805,454.15304,0.993355459279139,0.989769005720572,0.996525523615536,0.00706,0.0038639,0.0108208,0,0,0
"B-bad","No Deference",500,2.76511,2.67570975,2.8561145,0.268466666666667,0.2601946,0.2768162,0.883574315789474,0.879765842105263,0.887386884210526,0.493736421052632,0.493158736842105,0.494318831578947,55.3022,53.45022,57.120115,0.95533920046493,0.95205465435493,0.958386129796164,0.04732,0.0442758,0.0506481,0,0,0
"B-bad","E-Preemption",500,2.46276,2.34916775,2.5699045,0.229237333333333,0.216642066666667,0.242101733333333,0.896304842105263,0.891626505263158,0.900967010526316,0.494370105263158,0.493777168421053,0.494970968421053,49.2552,47.051315,51.636085,0.958541590381867,0.955918902323375,0.96107244337225,0.044832,0.0419558,0.047816,0,0,0
"B-bad","E-Total Evidence",500,2.05304,1.94584,2.167968,0.180869333333333,0.1686878,0.1934698,0.913556210526316,0.908556947368421,0.918171684210526,0.495202526315789,0.494623063157895,0.495814368421053,41.0608,38.80459,43.332095,0.962196685445999,0.959456239482183,0.964788307099203,0.04068,0.0378679,0.0437603,0,0,0
