"world","policy","ticks","correct_choice_rate","correct_ci_low","correct_ci_high","b_share","truth_mass","post_regret","n_runs"
"B-bad","E-Preemption",30,0.68,0.647802905964643,0.712197094035357,0.32,0.686705516950922,0.080175,200
"B-bad","E-Preemption",35,0.7005,0.667082013719627,0.733917986280373,0.2995,0.702835235903438,0.158575,200
"B-bad","E-Preemption",40,0.6975,0.665986557865319,0.729013442134681,0.3025,0.715316954078513,0.233075,200
"B-bad","E-Preemption",45,0.7185,0.687993810464104,0.749006189535896,0.2815,0.726913072762034,0.30415,200
"B-bad","E-Preemption",50,0.7285,0.697763703842077,0.759236296157923,0.2715,0.73648399237412,0.3719,200
"B-bad","E-Preemption",55,0.749,0.722274580786061,0.775725419213939,0.251,0.744368558605183,0.435775,200
"B-bad","E-Preemption",60,0.7595,0.731952659696643,0.787047340303357,0.2405,0.756254801777064,0.4981,200
"B-bad","E-Preemption",65,0.762,0.733540545494445,0.790459454505555,0.238,0.764469227102831,0.558975,200
"B-bad","E-Preemption",70,0.776,0.748552965725743,0.803447034274257,0.224,0.774624886175323,0.61615,200
"B-bad","E-Preemption",75,0.7925,0.766508893094157,0.818491106905843,0.2075,0.78186636163982,0.6719,200
"B-bad","E-Preemption",80,0.7735,0.748089513065839,0.798910486934161,0.2265,0.788646911538712,0.725575,200
"B-bad","E-Preemption",85,0.7925,0.768118477422112,0.816881522577888,0.2075,0.791948713991588,0.77675,200
"B-bad","E-Preemption",90,0.7905,0.765700055154868,0.815299944845132,0.2095,0.79842202954743,0.828925,200
"B-bad","E-Preemption",95,0.8045,0.780745708390919,0.828254291609081,0.1955,0.805327950537622,0.878475,200
"B-bad","E-Preemption",100,0.7995,0.776313233760543,0.822686766239457,0.2005,0.809984156889844,0.926575,200
"B-bad","E-Preemption",105,0.8095,0.786184543095764,0.832815456904236,0.1905,0.815568434270138,0.9745,200
"B-bad","E-Preemption",110,0.8245,0.80268597569724,0.84631402430276,0.1755,0.825124377237862,1.02045,200
"B-bad","E-Preemption",115,0.829,0.80981863152738,0.84818136847262,0.171,0.831099806278867,1.0641,200
"B-bad","E-Preemption",120,0.829,0.808646726289027,0.849353273710973,0.171,0.836224558164317,1.1063,200
"B-bad","E-Preemption",125,0.8345,0.814772497630244,0.854227502369756,0.1655,0.843209452106921,1.146225,200
"B-bad","E-Preemption",130,0.858,0.838779923394439,0.877220076605561,0.142,0.846125821892634,1.18535,200
"B-bad","E-Preemption",135,0.855,0.835860947866132,0.874139052133868,0.145,0.851420177589978,1.22295,200
"B-bad","E-Preemption",140,0.861,0.841960051729305,0.880039948270695,0.139,0.859979687401686,1.2584,200
"B-bad","E-Preemption",145,0.8475,0.827609749616923,0.867390250383077,0.1525,0.862223700830194,1.2946,200
"B-bad","E-Preemption",150,0.8635,0.84619211868024,0.88080788131976,0.1365,0.865283586838709,1.327825,200
